Last_Name/Organization_Name/Title,First_Names/Author,Occupation_or_description,Race,Start_Date,End_Date,Boston_State_Date,Boston_End_Date,Type,Action,Start_Year_for_Location,End_Year_for_Location,Lat,Long,Original_Street_Address,Records_(semi-colon_separated),Digital_Assets_(semi-colon_separated),iiif_manifests_(semi-colon_separated),HAD_Links,Source_(semi-colon_separated),linked_data,Other_Repositories,Notes,Search_in_HOLLIS_Link,Presentation_Text,Layer
African Lodge #459,,,,1784-00-00,,1784-00-00,,Organization,met,1784,1799,42.357707,-71.056215,,990117369670203941; 990023372680203941; 990023372670203941; 990023022880203941,httpss://iiif.lib.harvard.edu/manifests/view/ids:11735119,httpss://iiif.lib.harvard.edu/manifests/ids:11735119,,Sidbury,Q55603297,,"""Throughout the 1780s and 1790s, Lodge No. 459 met in Boston at Prince Hall's leather shop at the sign of the Golden Fleece"" (Sidbury, 75); The sign of the Golden Fleece seems to have been on Water street (httpss://books.google.com/books?id=oE8uAAAAYAAJ&pg=PA6&)",,"African Lodge #459 met here in 1799. Notes: ""Throughout the 1780s and 1790s, Lodge No. 459 met in Boston at Prince Hall's leather shop at the sign of the Golden Fleece"" (Sidbury, 75); The sign of the Golden Fleece seems to have been on Water street (httpss://books.google.com/books?id=oE8uAAAAYAAJ&pg=PA6&). Source: Sidbury","Boston, 1780-1880"
African Lodge #459,,,,1784-00-00,,1784-00-00,,Organization,met,1811,,,,,990117369670203941; 990023372680203941; 990023372670203941; 990023022880203941,httpss://iiif.lib.harvard.edu/manifests/view/ids:11735119,httpss://iiif.lib.harvard.edu/manifests/ids:11735119,,Sidbury,Q55603297,,Met for a time in the African Meeting House,,African Lodge #459 met here since 1811. Notes: Met for a time in the African Meeting House. Source: Sidbury,"Boston, 1780-1880"
Boarding house,,,,1848-00-00,1859-00-00,1848-00-00,1859-00-00,Organization,was,1848,1859,42.36036,-71.06963,81-83 Southac St,,,,,Grover and da Silva,,,The boarding house was operated by John R. Taylor through early 1855 and then by William T. Manix. People living in this boarding house sheltered many fugitive people fleeing enslavement.,,Boarding house was here in 1859. Notes: The boarding house was operated by John R. Taylor through early 1855 and then by William T. Manix. People living in this boarding house sheltered many fugitive people fleeing enslavement.. Source: Grover and da Silva,"Boston, 1780-1880"
Boston Vigilance Committee,,,,1841-00-00,1861-00-00,1841-00-00,1861-00-00,Organization,met,,1850,42.36004,-71.05624,Faneuil Hall,990076288080203941; 990019318810203941; 990045709980203941;,httpss://hdl.handle.net/2027/hvd.32044018978874,,,Grover and da Silva,Q4948198,,,,Boston Vigilance Committee met here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Boston Vigilance Committee,,,,1841-00-00,1861-00-00,1841-00-00,1861-00-00,Organization,was founded,,1841,42.35603,-71.06006,Marlboro Chapel,990076288080203941; 990019318810203941; 990045709980203941;,httpss://hdl.handle.net/2027/hvd.32044018978874,,,Grover and da Silva,Q4948198,,,,Boston Vigilance Committee was founded here in 1841. Source: Grover and da Silva,"Boston, 1780-1880"
Charles Street African Methodist Episcopal Church,,,,1833-00-00,,1833-00-00,,Organization,met,1841,1876,42.35998,-71.06784,,,,,,BOAF; Grover and da Silva,Q5082719,,,,Charles Street African Methodist Episcopal Church met here in 1876. Source: BOAF; Grover and da Silva,"Boston, 1780-1880"
Charles Street African Methodist Episcopal Church,,,,1833-00-00,,1833-00-00,,Organization,met,1876,1939,42.35788,-71.07061,,,,,,Grover and da Silva,Q5082719,,,,Charles Street African Methodist Episcopal Church met here in 1939. Source: Grover and da Silva,"Boston, 1780-1880"
Columbus Avenue AME Zion Church,,,,1838-00-00,,1838-00-00,,Organization,met,1841,1902,42.361735,-71.066052,North Russell St,,,,,BOAF; AME Zion Church website; Grover and da Silva,,,,,Columbus Avenue AME Zion Church met here in 1902. Source: BOAF; AME Zion Church website; Grover and da Silva,"Boston, 1780-1880"
Columbus Avenue AME Zion Church,,,,1838-00-00,,1838-00-00,,Organization,met,1903,,42.339983,-71.082219, 600 Columbus Ave,,,,,BOAF; AME Zion Church website; Grover and da Silva,,,,,Columbus Avenue AME Zion Church met here since 1903. Source: BOAF; AME Zion Church website; Grover and da Silva,
First Independent Baptist Church,,,,,,,,Organization,met,1838,1897,42.359983,-71.065481,Smith Court,,,,,Grover and da Silva,Q3329655,,,,First Independent Baptist Church met here in 1897. Source: Grover and da Silva,"Boston, 1780-1880"
Home for Aged Colored Women,,,,,,,,Organization,was,1864,1900,42.35942,-71.06547,27 Myrtle St,,,,,Grover and da Silva,,,,,Home for Aged Colored Women was here in 1900. Source: Grover and da Silva,"Boston, 1780-1880"
Home for Aged Colored Women,,,,,,,,Organization,was,1860,1863,42.36035,-71.06903,65 Southac,,,,,Grover and da Silva,,,,,Home for Aged Colored Women was here in 1863. Source: Grover and da Silva,"Boston, 1780-1880"
Massachusetts Anti-Slavery Society,,,,1835-00-00,1860-00-00,1835-00-00,1860-00-00,Organization,met,1836,,42.359123,-71.057659,21 Cornhill,990072976030203941; 990056262020203941; ,httpss://babel.hathitrust.org/cgi/pt?id=hvd.32044011670247,,,Wikipedia; Grover and da Silva,Q6784177,,1836 Boston Directory lists at 46 Washington ,,Massachusetts Anti-Slavery Society met here since 1836. Notes: 1836 Boston Directory lists at 46 Washington . Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Massachusetts General Colored Association,,,,1826-00-00,1833-00-00,1826-00-00,1833-00-00,Organization,met occassionally,1826,1833,42.359983,-71.065481,,,,,,Wikipedia; Grover and da Silva,Q6784271,,"met in various places, but sometimes the African Meeting House",,"Massachusetts General Colored Association met occassionally here in 1833. Notes: met in various places, but sometimes the African Meeting House. Source: Wikipedia; Grover and da Silva","Boston, 1780-1880"
New England Freedom Association,,,,1842-00-00,1848-00-00,1842-00-00,1848-00-00,Organization,met,1842,,42.359983,-71.065481,,,,,,Wikipedia; Grover and da Silva,Q39086809,,,,New England Freedom Association met here since 1842. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Revere Street Methodist Episcopal Church,,,,1818-00-00,,1818-00-00,,Organization,met,1835,1911,42.359589,-71.069324,,,,,,BOAF; Grover and da Silva,,,"Black congregants were given their own local pastor (Samuel Snowden) in 1818, and their own church on May Street in 1823, under the sponsorship of Bromfield, who built a larger facility on Revere Street in 1835 for the black congregation",,"Revere Street Methodist Episcopal Church met here in 1911. Notes: Black congregants were given their own local pastor (Samuel Snowden) in 1818, and their own church on May Street in 1823, under the sponsorship of Bromfield, who built a larger facility on Revere Street in 1835 for the black congregation. Source: BOAF; Grover and da Silva","Boston, 1780-1880"
Revere Street Methodist Episcopal Church,,,,1818-00-00,,1818-00-00,,Organization,met,1823,1834,,,,,,,,BOAF; Grover and da Silva,,,"Black congregants were given their own local pastor (Samuel Snowden) in 1818, and their own church on May Street in 1823, under the sponsorship of Bromfield, who built a larger facility on Revere Street in 1835 for the black congregation",,"Revere Street Methodist Episcopal Church met here in 1834. Notes: Black congregants were given their own local pastor (Samuel Snowden) in 1818, and their own church on May Street in 1823, under the sponsorship of Bromfield, who built a larger facility on Revere Street in 1835 for the black congregation. Source: BOAF; Grover and da Silva","Boston, 1780-1880"
Samuel Guild's boarding house,,,,,,,182U-00-00,Organization,was,1820,1829,42.36018,-71.06942,,,,,,Grover and da Silva,,,Source does not list years of operation.,,Samuel Guild's boarding house was here in 1829. Notes: Source does not list years of operation.. Source: Grover and da Silva,"Boston, 1780-1880"
Temperance House,,,,1846-00-00,1847-00-00,1846-00-00,1847-00-00,Organization,was,1846,1847,,,40 Southac St,,,,,Grover and da Silva,,,"John R. Taylor operated a boardinghouse called “Temperance House” at 40 Southac Street in 1846 and 1847. Taylor boarded John H. Lomax, Henry H. Garnet, Joseph Johnson, and Thomas Miller as they fled enslavement.",,"Temperance House was here in 1847. Notes: John R. Taylor operated a boardinghouse called “Temperance House” at 40 Southac Street in 1846 and 1847. Taylor boarded John H. Lomax, Henry H. Garnet, Joseph Johnson, and Thomas Miller as they fled enslavement.. Source: Grover and da Silva","Boston, 1780-1880"
Twelfth Baptist Church,,,,1840-00-00,,1840-00-00,,Organization,met,1850,1906,42.3604427,-71.0681428,,,,,,Wikipedia; BOAF; Grover and da Silva,Q23302352,,45 phillips st according to 1880 city directory httpss://books.google.com/books?id=NSFFAQAAMAAJ&pg=PA1330&,,Twelfth Baptist Church met here in 1906. Notes: 45 phillips st according to 1880 city directory httpss://books.google.com/books?id=NSFFAQAAMAAJ&pg=PA1330&. Source: Wikipedia; BOAF; Grover and da Silva,"Boston, 1780-1880"
New England Freedmen's Aid Society,,,,1862-00-00,1865-00-00,1862-00-00,1865-00-00,Organization,,,,,,,990101337990203941; 990056611900203941;,,,,,,,,,New England Freedmen's Aid Society here since . Source: ,
Andrew,John Albion,,white,1818-00-00,1867-00-00,,,Person,lived,1858,1867,42.35895,-71.07088,71 Charles St,,,,,Grover and da Silva,Q880970,,,,John Albion Andrew lived here in 1867. Source: Grover and da Silva,"Boston, 1780-1880"
Babcock,Tristram,mariner,Black,,,,,Person,lived,1815,1817,42.35889,-71.06529,5 Pinckney St,,,,,Grover and da Silva,,,,,Tristram Babcock lived here in 1817. Source: Grover and da Silva,"Boston, 1780-1880"
Bannister,Edward Mitchell,,Black,1823-00-00,1901-00-00,185U-00-00,1870-00-00,Person,lived,,1860,42.360227,-71.069209,,,,,,Roses,Q1293032,httpss://art.thewalters.org/detail/4695; httpss://americanart.si.edu/artwork/dorchester-1856-942; httpss://americanart.si.edu/artwork/untitled-moon-over-harbor-wharf-scene-full-moon-and-masts-boats-1043,"during the 1860s, the Bannisters lived on Beacon hill at 70 southac (now Phillips) street (Ross)",,"Edward Mitchell Bannister lived here in 1860. Notes: during the 1860s, the Bannisters lived on Beacon hill at 70 southac (now Phillips) street (Ross). Source: Roses","Boston, 1780-1880"
Barrett,Charles,,Black,,,,,Person,owned,1822,1835,42.36049,-71.06502,18 Belknap,,,,,Grover and da Silva,,,,,Charles Barrett owned here in 1835. Source: Grover and da Silva,"Boston, 1780-1880"
Beal,David,grocer,Black,,,,,Person,owned,1833,1844,,,7A Smith Court,,,,,Grover and da Silva,,,,,David Beal owned here in 1844. Source: Grover and da Silva,"Boston, 1780-1880"
Black,Leonard,,Black,1820-00-00,1883-00-00,1837-00-00,1842-00-00,Person,lived,1839,1842,42.360792,-71.065015,8 Belknap St,,,,,Grover and da Silva,Q6525128,httpss://docsouth.unc.edu/neh/black/menu.html,8 Belknap Street is now 81 Joy Street,,Leonard Black lived here in 1842. Notes: 8 Belknap Street is now 81 Joy Street. Source: Grover and da Silva,"Boston, 1780-1880"
Black,George H.,minister,Black,,1842-00-00,1839-00-00,1842-00-00,Person,lived,1839,1842,42.360792,-71.065015,8 Belknap St,,,,,Grover and da Silva,,,8 Belknap Street is now 81 Joy Street,,George H. Black lived here in 1842. Notes: 8 Belknap Street is now 81 Joy Street. Source: Grover and da Silva,"Boston, 1780-1880"
Black,George H.,minister,Black,,1842-00-00,1839-00-00,1842-00-00,Person,worked,1838,1842,42.359983,-71.065481,Smith Court,,,,,Grover and da Silva,,,Founding minister for the Twelfth Baptist Church,,George H. Black worked here in 1842. Notes: Founding minister for the Twelfth Baptist Church. Source: Grover and da Silva,"Boston, 1780-1880"
Bradford,George,laborer,Black,,,,,Person,lived,1837,1843,,,7A Smith Court,,,,,Grover and da Silva,,,,,George Bradford lived here in 1843. Source: Grover and da Silva,"Boston, 1780-1880"
Brown,William Wells,,Black,1814-00-00,1884-00-00,1854-00-00,1884-00-00,Person,lived,,1878,42.344533,-71.06516,,,,,,Wikipedia,Q961244,,7 decatur st for house and office in 1878 City directory; 1876 city directory lists 140 Court st with a house in Cambridgeport,,William Wells Brown lived here in 1878. Notes: 7 decatur st for house and office in 1878 City directory; 1876 city directory lists 140 Court st with a house in Cambridgeport. Source: Wikipedia,"Boston, 1780-1880"
Burns,Anthony,,Black,1834-05-31,1862-07-17,1854-03-05,1854-06-02,Person,boarded,,1854,42.36049,-71.06502,18 Belknap,,,,,Grover and da Silva,Q2852821,,,,Anthony Burns boarded here in 1854. Source: Grover and da Silva,"Boston, 1780-1880"
Caples,Charles V.,,Black,,,,,Person,lived,1833,1836,42.36069,-71.06506,12 Belknap St,,,,,Grover and da Silva,,,,,Charles V. Caples lived here in 1836. Source: Grover and da Silva,"Boston, 1780-1880"
Clark,Anthony F.,hairdresser,Black,,,,,Person,owned,1836,1838,42.36069,-71.06506,12 Belknap St,,,,,Grover and da Silva,,,,,Anthony F. Clark owned here in 1838. Source: Grover and da Silva,"Boston, 1780-1880"
Clark,Anthony F.,hairdresser,Black,,,,,Person,lived,1839,1850,42.36069,-71.06506,12 Belknap St,,,,,Grover and da Silva,,,,,Anthony F. Clark lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Clark,Anthony F.,hairdresser,Black,,,,,Person,worked,1837,,,,14 School St,,,,,Grover and da Silva,,,,,Anthony F. Clark worked here since 1837. Source: Grover and da Silva,"Boston, 1780-1880"
Coburn,John,clothing,Black,1811-00-00,1873-00-00,1811-00-00,1873-00-00,Person,lived,1845,1873,42.360272,-71.066456,Corner of Southac and Butolph,,,,,Wikipedia; Grover and da Silva,Q40384422,,,,John Coburn lived here in 1873. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Coburn,John,clothing,Black,1811-00-00,1873-00-00,1811-00-00,1873-00-00,Person,lived,1835,1843,42.36012,-71.06734,3 Coburn Court,,,,,Grover and da Silva,Q40384422,,,,John Coburn lived here in 1843. Source: Grover and da Silva,"Boston, 1780-1880"
Cole,Thomas,barber,Black,,,,1847-00-00,Person,lived,1836,1843,42.36018,-71.0692,68-70 Southac St,,,,,Grover and da Silva,,,,,Thomas Cole lived here in 1843. Source: Grover and da Silva,"Boston, 1780-1880"
Craft,Willam,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,Q18534974,,,,Willam Craft lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Craft,Willam,cabinetmaking,Black,,,,,Person,worked,,1850,,,51 Cambridge,,,,,Grover and da Silva,Q18534974,,,,Willam Craft worked here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Craft,Ellen,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,Q18528650,,,,Ellen Craft lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Crawford,Harrison,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,,,,,Harrison Crawford lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Crumpler,Rebecca Lee ,,Black,1831-00-00,1895-00-00,1860-00-00,1895-00-00,Person,boarded,,1869,42.36049,-71.06502,18 Belknap,,,,,Grover and da Silva,Q4793563,,,,Rebecca Lee  Crumpler boarded here in 1869. Source: Grover and da Silva,"Boston, 1780-1880"
Crumpler,Rebecca Lee ,,Black,1831-00-00,1895-00-00,1860-00-00,1895-00-00,Person,lived,,1870,42.360696,-71.06687,,,,,,Wikipedia,Q4793563,,"Ward 6 of Boston in 1870 census; then in Hyde Park, Norfolk County; 1870 city directory lists her as 20 Garden St",,"Rebecca Lee  Crumpler lived here in 1870. Notes: Ward 6 of Boston in 1870 census; then in Hyde Park, Norfolk County; 1870 city directory lists her as 20 Garden St. Source: Wikipedia","Boston, 1780-1880"
Custom,Peter,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,,,,,Peter Custom lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
De Randamie,Cornelius A. ,,Black,,,,,Person,lived,1827,1829,42.360792,-71.065015,8 Belknap St,,,,,Grover and da Silva,,,,,Cornelius A.  De Randamie lived here in 1829. Source: Grover and da Silva,"Boston, 1780-1880"
Farmer,Stephen,cook,Black,,,,,Person,lived,1835,1838,,,2 Smith Court,,,,,Grover and da Silva,,,,,Stephen Farmer lived here in 1838. Source: Grover and da Silva,"Boston, 1780-1880"
Garrison,William Lloyd,,white,1805-00-00,1879-00-00,1831-00-00,1879-00-00,Person,lived,1864,1879,42.326111,-71.093889,,990006022270203941; 990006019320203941; 990013927820203941; 990006022260203941; 990149109750203941; 990093957660203941; 990092065220203941; 990092065210203941,,,,Wikipedia,Q360155,,,"httpss://hollis.harvard.edu/primo-explore/search?query=creator,exact,garrison,%20william%20lloyd,AND&pfilter=dr_s,exact,17800101,AND&pfilter=dr_e,exact,18801231,AND&tab=books&search_scope=default_scope&sortby=rank&vid=HVD2&mfacet=tlevel,include,available,1&mode=advanced&offset=0&came_from=sort",William Lloyd Garrison lived here in 1879. Source: Wikipedia,"Boston, 1780-1880"
Garrison,William Lloyd,,white,1805-00-00,1879-00-00,1831-00-00,1879-00-00,Person,lived,,1851,,,65 S. Suffolk,990006022270203941; 990006019320203941; 990013927820203941; 990006022260203941; 990149109750203941; 990093957660203941; 990092065220203941; 990092065210203941,,,,Wikipedia,Q360155,,Listing in the 1851 Boston Directory.,"httpss://hollis.harvard.edu/primo-explore/search?query=creator,exact,garrison,%20william%20lloyd,AND&pfilter=dr_s,exact,17800101,AND&pfilter=dr_e,exact,18801231,AND&tab=books&search_scope=default_scope&sortby=rank&vid=HVD2&mfacet=tlevel,include,available,1&mode=advanced&offset=0&came_from=sort",William Lloyd Garrison lived here in 1851. Notes: Listing in the 1851 Boston Directory.. Source: Wikipedia,"Boston, 1780-1880"
Garrison,William Lloyd,,white,1805-00-00,1879-00-00,1831-00-00,1879-00-00,Person,lived,,1856,42.35056,-71.06405,14 Dix place,990006022270203941; 990006019320203941; 990013927820203941; 990006022260203941; 990149109750203941; 990093957660203941; 990092065220203941; 990092065210203941,,,,Wikipedia,Q360155,,Listing in the 1856 Boston Directory.,"httpss://hollis.harvard.edu/primo-explore/search?query=creator,exact,garrison,%20william%20lloyd,AND&pfilter=dr_s,exact,17800101,AND&pfilter=dr_e,exact,18801231,AND&tab=books&search_scope=default_scope&sortby=rank&vid=HVD2&mfacet=tlevel,include,available,1&mode=advanced&offset=0&came_from=sort",William Lloyd Garrison lived here in 1856. Notes: Listing in the 1856 Boston Directory.. Source: Wikipedia,"Boston, 1780-1880"
Glapion,Louis,barber,Black,,,,1813-00-00,Person,lived,1786,1813,42.35889,-71.06529,5 Pinckney St,,,,,Grover and da Silva,,,,,Louis Glapion lived here in 1813. Source: Grover and da Silva,"Boston, 1780-1880"
Glapion,Lucy,,Black,,,,,Person,lived,1786,1832,42.35889,-71.06529,5 Pinckney St,,,,,Grover and da Silva,,,,,Lucy Glapion lived here in 1832. Source: Grover and da Silva,"Boston, 1780-1880"
Goddard,William,,Black,,,,,Person,lived,,1841,42.359983,-71.065481,basement of the African Meeting House,,,,,Grover and da Silva,,,,,William Goddard lived here in 1841. Source: Grover and da Silva,"Boston, 1780-1880"
Griffen,William,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,,,,,William Griffen lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Grimes,Leonard Andrew,pastor,Black,1815-00-00,1873-00-00,1848-00-00,1873-00-00,Person,was pastor,1848,1873,42.3604427,-71.0681428,,,,,,Wikipedia; Grover and da Silva,Q16065464,,,,Leonard Andrew Grimes was pastor here in 1873. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Hall,Primus,,Black,1746-00-00,1842-00-00,,,Person,lived,1795,1842,42.36018,-71.06964,,,,,,Grover and da Silva,Q16230347,,Source says he moved here in the late 1790s,,Primus Hall lived here in 1842. Notes: Source says he moved here in the late 1790s. Source: Grover and da Silva,"Boston, 1780-1880"
Hayden,Lewis,clothing,Black,1811-00-00,1889-00-00,1846-00-00,1889-00-00,Person,lived,1850,1889,42.360223,-71.069049,66 Southac St,990038814800203941; 990006020060203941,,,httpss://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/494654,Wikipedia; BOAF; Grover and da Silva,Q6536673,,,,Lewis Hayden lived here in 1889. Source: Wikipedia; BOAF; Grover and da Silva,"Boston, 1780-1880"
Hayden,Lewis,clothing,Black,1811-00-00,1889-00-00,1846-00-00,1889-00-00,Person,worked,,1858,,,121 Cambridge St,,,,,Grover and da Silva,Q6536673,,,,Lewis Hayden worked here in 1858. Source: Grover and da Silva,"Boston, 1780-1880"
Hayden,Harriet,,Black,,,,1893-00-00,Person,lived,1850,1889,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,,,,,Harriet Hayden lived here in 1889. Source: Grover and da Silva,"Boston, 1780-1880"
Henry,John,mariner,Black,,,,,Person,lived,1837,1865,42.36049,-71.06505,,,,,,Grover and da Silva,,,,,John Henry lived here in 1865. Source: Grover and da Silva,"Boston, 1780-1880"
Henry,William,,Black,,1834-00-00,,1834-00-00,Person,lived,1804,1834,,,2 Smith Court,,,,,Grover and da Silva,,,,,William Henry lived here in 1834. Source: Grover and da Silva,"Boston, 1780-1880"
Henry,Susannah E.,,Black,,,,,Person,lived,1804,,,,2 Smith Court,,,,,Grover and da Silva,,,,,Susannah E. Henry lived here since 1804. Source: Grover and da Silva,"Boston, 1780-1880"
Hilton,John T.,,Black,1801-00-00,1864-00-00,1825-00-00,1864-00-00,Person,lived,1848,1851,42.36549,-71.06692,3 Second St,,,,,Wikipedia; Grover and da Silva,Q16065933,,,,John T. Hilton lived here in 1851. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Hilton,John T.,,Black,1801-00-00,1864-00-00,1825-00-00,1864-00-00,Person,lived,,1830,42.36069,-71.06506,12 Belknap St,,,,,Grover and da Silva,Q16065933,,,,John T. Hilton lived here in 1830. Source: Grover and da Silva,"Boston, 1780-1880"
Holmes,George B.,hairdresser and musician,Black,,1830-00-00,,1830-00-00,Person,lived,1826,1830,42.36069,-71.06506,12 Belknap St,,,,,Grover and da Silva,,,,,George B. Holmes lived here in 1830. Source: Grover and da Silva,"Boston, 1780-1880"
